Total part count:,,204,,,,BOM Cost:,$51.26,,
11,1k,R-EU_0204/5,"R9, R10, R13, R20, R21, R36, R37, R40, R47, R60, R61","RESISTOR, European symbol",CF18JT1K00CT-ND,$0.07,$0.72,http://www.digikey.com/product-detail/en/CF18JT1K00/CF18JT1K00CT-ND/2022742,
3,1u,CPOL-EUE2.5-5,"C35, C38, C41","POLARIZED CAPACITOR, European symbol",493-12600-1-ND,$0.15,$0.45,http://www.digikey.com/product-detail/en/UVK2A010MDD1TD/493-12600-1-ND/4328681,
3,22,R-EU_0204/5,"R27, R28, R34","RESISTOR, European symbol",CF18JT22R0CT-ND,$0.09,$0.27,http://www.digikey.com/product-detail/en/CF18JT22R0/CF18JT22R0CT-ND/2022702,
7,220,R-EU_0204/5,"R1, R4, R5, R12, R43, R44, R53","RESISTOR, European symbol",CF18JT220RCT-ND,$0.09,$0.63,http://www.digikey.com/product-detail/en/CF18JT220R/CF18JT220RCT-ND/2022726,
2,22 pF,C-TRIMMTZ03,"C26, C27",Trimm capacitor,SG3009-ND,$1.84,$3.68,http://www.digikey.com/product-detail/en/GYC65000/SG3009-ND/65256,
1,2K2,R-EU_0204/5,R50,"RESISTOR, European symbol",CF18JT2K20CT-ND,$0.09,$0.09,http://www.digikey.com/product-detail/en/CF18JT2K20/CF18JT2K20CT-ND/2022750,
19,2N3904,2N3904,"Q8, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q20, Q22, Q23, Q24, Q25, Q26, Q27, Q28, Q29, Q30, Q39",NPN Transistor,2N3904-APCT-ND,$0.17,$3.23,http://www.digikey.com/product-detail/en/2N3904-AP/2N3904-APCT-ND/950591,
1,2N3906,2N3906,Q21,PNP Transistor,2N3906-APCT-ND,$0.19,$0.19,http://www.digikey.com/product-detail/en/2N3906-AP/2N3906-APCT-ND/950592,
5,2k2,R-EU_0204/5,"R3, R6, R11, R29, R45","RESISTOR, European symbol",CF18JT2K20CT-ND,$0.09,$0.45,http://www.digikey.com/product-detail/en/CF18JT2K20/CF18JT2K20CT-ND/2022750,
1,3u,L-US0207/2V,L1,"INDUCTOR, American symbol",495-5600-1-ND,$1.33,$1.33,http://www.digikey.com/product-detail/en/B82131A5202M/495-5600-1-ND/4245925,
2,470,R-EU_0204/5,"R15, R31","RESISTOR, European symbol",CF18JT470RCT-ND,$0.09,$0.18,http://www.digikey.com/product-detail/en/CF18JT470R/CF18JT470RCT-ND/2022734,
1,470u,CPOL-EUE2.5-5,C30,"POLARIZED CAPACITOR, European symbol",493-12892-1-ND,$0.18,$0.18,http://www.digikey.com/product-detail/en/UVY1A471MED1TD/493-12892-1-ND/4328509,
2,47k,R-EU_0204/5,"R32, R59","RESISTOR, European symbol",CF18JT47K0CT-ND,$0.09,$0.18,http://www.digikey.com/product-detail/en/CF18JT47K0/CF18JT47K0CT-ND/2022782,
7,4k7,R-EU_0204/5,"R16, R25, R38, R49, R52, R54, R64","RESISTOR, European symbol",CF18JT4K70CT-ND,$0.09,$0.63,http://www.digikey.com/product-detail/en/CF18JT4K70/CF18JT4K70CT-ND/2022758,
12,50u,CPOL-EUE2.5-5,"C20, C21, C25, C29, C31, C32, C33, C36, C37, C40, C43, C46","POLARIZED CAPACITOR, European symbol",445-8425-ND,$0.22,$2.66,http://www.digikey.com/product-detail/en/FK18X7R1E474K/445-8425-ND/2815355,
1,51,R-EU_0204/5,R19,"RESISTOR, European symbol",CF18JT51R0CT-ND,$0.09,$0.09,http://www.digikey.com/product-detail/en/CF18JT51R0/CF18JT51R0CT-ND/2022711,
2,6k8,R-EU_0204/5,"R57, R58","RESISTOR, European symbol",CF18JT6K80CT-ND,$0.09,$0.18,http://www.digikey.com/product-detail/en/CF18JT6K80/CF18JT6K80CT-ND/2022762,
1,78L05,78LXX,IC1,VOLTAGE REGULATOR,497-2952-ND,$0.39,$0.39,http://www.digikey.com/product-detail/en/L78L05ACZ/497-2952-ND/634716,
1,20 MHz (BFO),CRYSTALHC49S,Q17,CRYSTAL,CTX1106-ND,$0.36,$0.36,http://www.digikey.com/product-detail/en/ATS20A/CTX1106-ND/2640038,
1,BFO,PINHD-1X1,JP9,PIN HEADER,-,-,-,,
1,CW,PINHD-1X1,JP10,PIN HEADER,-,-,-,,
1,12VDC,G5V-2,K2,OMRON PCB Relay,Z768-ND,$2.97,$2.97,http://www.digikey.com/product-detail/en/G5V-2-DC12/Z768-ND/87821,
3,G5V1,G5V1,"K1, K3, K4",RELAY,Z774-ND,$2.05,$6.15,http://www.digikey.com/product-detail/en/G5V-1-DC12/Z774-ND/87833,
2,J310,J310,"Q18, Q19","N-Channel RF Amplifier J309, J310",J310GOS-ND,$0.55,$1.10,http://www.digikey.com/product-detail/en/J310G/J310GOS-ND/918462,
1,MIC,PINHD-1X2,JP6,PIN HEADER,-,-,-,,
4,PAD-RND3.0,PAD-RND3.0,"H1, H2, H3, H4","MOUNTING PAD, round",-,-,-,,
1,PA,BU-SMA-V,X3,FEMALE SMA CONNECTOR,CONSMA001-ND,$2.61,$2.61,http://www.digikey.com/product-detail/en/CONSMA001/CONSMA001-ND/1577202,
1,R/T,PINHD-1X1,JP8,PIN HEADER,-,-,-,,
1,RFC,PINHD-1X2,JP2,PIN HEADER,-,-,-,,
1,VFO,BU-SMA-V,X1,FEMALE SMA CONNECTOR,CONSMA001-ND,$2.61,$2.61,http://www.digikey.com/product-detail/en/CONSMA001/CONSMA001-ND/1577202,
1,VOL,PINHD-1X3,JP7,PIN HEADER,-,-,-,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
